barcode,first_type
cellid_000000798-1,Endothelial
cellid_000000799-1,Tumor
cellid_000000800-1,Tumor
cellid_000000801-1,Tumor
cellid_000000802-1,Tumor
cellid_000000803-1,Myeloid
cellid_000000804-1,Tumor
cellid_000000805-1,Tumor
cellid_000000806-1,Endothelial
cellid_000000807-1,Fibroblast
cellid_000000808-1,Tumor
cellid_000000809-1,B cells
cellid_000000810-1,Myeloid
cellid_000000811-1,Fibroblast
cellid_000000812-1,Myeloid
cellid_000000813-1,Tumor
cellid_000000814-1,Endothelial
cellid_000000815-1,Endothelial
cellid_000000816-1,T cells
cellid_000000817-1,Tumor
cellid_000000818-1,B cells
cellid_000000819-1,Myeloid
cellid_000000820-1,T cells
cellid_000000821-1,Tumor
cellid_000000822-1,Tumor
cellid_000000823-1,Tumor
cellid_000000824-1,B cells
cellid_000000825-1,Tumor
cellid_000000826-1,Fibroblast
cellid_000000827-1,Tumor
cellid_000000828-1,Tumor
cellid_000000829-1,Fibroblast
cellid_000000830-1,Tumor
cellid_000000831-1,Tumor
cellid_000000832-1,Tumor
cellid_000000833-1,Tumor
cellid_000000834-1,T cells
cellid_000000835-1,Endothelial
cellid_000000836-1,Fibroblast
cellid_000000837-1,Fibroblast
cellid_000000838-1,Tumor
cellid_000000839-1,Fibroblast
cellid_000000840-1,Endothelial
cellid_000000841-1,Myeloid
cellid_000000842-1,Tumor
cellid_000000843-1,Endothelial
cellid_000000844-1,Tumor
cellid_000000845-1,Endothelial
cellid_000000846-1,Tumor
cellid_000000847-1,Tumor
cellid_000000848-1,Endothelial
cellid_000000849-1,Fibroblast
cellid_000000850-1,Tumor
cellid_000000851-1,Tumor
cellid_000000852-1,Fibroblast
cellid_000000853-1,Fibroblast
cellid_000000854-1,Tumor
cellid_000000855-1,Endothelial
cellid_000000856-1,Tumor
cellid_000000857-1,Tumor
cellid_000000859-1,Fibroblast
cellid_000000860-1,Fibroblast
cellid_000000861-1,Tumor
cellid_000000862-1,B cells
cellid_000000863-1,Fibroblast
cellid_000000864-1,Tumor
cellid_000000865-1,Tumor
cellid_000000866-1,Tumor
cellid_000000867-1,Tumor
cellid_000000868-1,Tumor
cellid_000000869-1,Tumor
cellid_000000870-1,Tumor
cellid_000000871-1,Tumor
cellid_000000872-1,Tumor
cellid_000000873-1,Tumor
cellid_000000874-1,Tumor
cellid_000000875-1,Tumor
cellid_000000876-1,Tumor
cellid_000000877-1,T cells
cellid_000000878-1,Tumor
cellid_000000879-1,Tumor
cellid_000000880-1,Tumor
cellid_000000881-1,T cells
cellid_000000882-1,Fibroblast
cellid_000000883-1,Tumor
cellid_000000884-1,Myeloid
cellid_000000885-1,Tumor
cellid_000000886-1,Fibroblast
cellid_000000887-1,Fibroblast
cellid_000000888-1,Tumor
cellid_000000889-1,Tumor
cellid_000000890-1,Tumor
cellid_000000891-1,Tumor
cellid_000000892-1,Fibroblast
cellid_000000893-1,Tumor
cellid_000000894-1,Tumor
cellid_000000895-1,Myeloid
cellid_000000896-1,Tumor
cellid_000000897-1,Fibroblast
cellid_000000898-1,Myeloid
cellid_000000899-1,Tumor
cellid_000000900-1,Fibroblast
cellid_000000901-1,Tumor
cellid_000000902-1,Fibroblast
cellid_000000903-1,Myeloid
cellid_000000904-1,Myeloid
cellid_000000905-1,T cells
cellid_000000906-1,B cells
cellid_000000907-1,Tumor
cellid_000000908-1,Endothelial
cellid_000000909-1,Tumor
cellid_000000910-1,Myeloid
cellid_000000911-1,Myeloid
